Ticker,Name,MC,PE,YTD,REV,EPS,GICS_INDUSTRY_GROUP_NAME,GICS_SUB_INDUSTRY_NAME
ULVR LN Equity,UNILEVER PLC,1.28036E+11,14.47421837,7.819215803,50982000640,3.515941024,Household & Personal Products,Personal Products
HSBA LN Equity,HSBC HOLDINGS PLC,1.25248E+11,13.19383812,-1.157348326,53779999744,0.613812007,Banks,Diversified Banks
BP/ LN Equity,BP PLC,1.13635E+11,15.43955421,14.22320054,2.98756E+11,0.470000006,Energy,Integrated Oil & Gas
GSK LN Equity,GLAXOSMITHKLINE PLC,79303286784,21.6662159,8.682901572,30821000704,0.736999989,"Pharmaceuticals, Biotechnology",Pharmaceuticals
AZN LN Equity,ASTRAZENECA PLC,77748101120,46.88944244,6.898174105,22089999872,1.700000018,"Pharmaceuticals, Biotechnology",Pharmaceuticals
RIO LN Equity,RIO TINTO PLC,76267479040,7.273168087,28.81795321,40522000384,7.969259977,Materials,Diversified Metals & Mining
DGE LN Equity,DIAGEO PLC,75192623104,26.14143753,13.2776806,12541000192,1.200393021,"Food, Beverage & Tobacco",Distillers & Vintners
BATS LN Equity,BRITISH AMERICAN TOBACCO PLC,73263046656,12.10039997,29.79893336,24492000256,2.639582038,"Food, Beverage & Tobacco",Tobacco
RB/ LN Equity,RECKITT BENCKISER GROUP PLC,45161742336,20.80552101,6.136703808,12596999680,3.060284019,Household & Personal Products,Household Products
LLOY LN Equity,LLOYDS BANKING GROUP PLC,44241297408,10.54381943,19.84571113,18724000256,0.058934998,Banks,Diversified Banks
PRU LN Equity,PRUDENTIAL PLC,39870083072,13.14979172,12.08673622,24931000320,1.16922003,Insurance,Life & Health Insurance
REL LN Equity,RELX PLC,32157456384,22.81962395,1.546551191,7492000000,0.719336987,Commercial & Professional Serv,Research & Consulting Services
RBS LN Equity,ROYAL BANK OF SCOTLAND GROUP,29862418432,18.29629707,19.01985658,16656000000,0.135000001,Banks,Diversified Banks
NG/ LN Equity,NATIONAL GRID PLC,29013397504,8.641747475,11.33210864,14912999936,0.977542028,Utilities,Multi-Utilities
CPG LN Equity,COMPASS GROUP PLC,28621672448,25.41109085,11.08739437,22963999744,0.710123003,Consumer Services,Restaurants
AAL LN Equity,ANGLO AMERICAN PLC,26544046080,9.523714066,19.81638518,27610000384,2.801545978,Materials,Diversified Metals & Mining
BARC LN Equity,BARCLAYS PLC,26506039296,17.27090836,5.267733587,21136000000,0.089561004,Banks,Diversified Banks
IMB LN Equity,IMPERIAL BRANDS PLC,25109561344,18.27770996,13.19106084,15398999552,1.435901999,"Food, Beverage & Tobacco",Tobacco
TSCO LN Equity,TESCO PLC,22730704896,20.53382874,22.09363422,60876998656,0.113645002,Food & Staples Retailing,Food Retail
BT/A LN Equity,BT GROUP PLC,22122926080,9.716797829,-6.362876425,23525000192,0.229447998,Telecommunication Services,Integrated Telecommunication S
STAN LN Equity,STANDARD CHARTERED PLC,19569639424,38.53248215,-1.160977525,23797000192,0.199384004,Banks,Diversified Banks
ABF LN Equity,ASSOCIATED BRITISH FOODS PLC,19308933120,19.15322113,19.38325991,15574000128,1.273415029,"Food, Beverage & Tobacco",Packaged Foods & Meats
EXPN LN Equity,EXPERIAN PLC,18919299072,29.96880913,9.786912609,4836000000,0.898054957,Commercial & Professional Serv,Research & Consulting Services
LSE LN Equity,LONDON STOCK EXCHANGE GROUP,16541529088,34.34944916,16.96208764,2135000064,1.383137047,Diversified Financials,Financial Exchanges & Data
LGEN LN Equity,LEGAL & GENERAL GROUP PLC,16410258432,9.265708923,19.17748389,1263999872,0.307987988,Insurance,Life & Health Insurance
AV/ LN Equity,AVIVA PLC,16146289664,10.70176506,9.826895845,17687000064,0.385357,Insurance,Multi-line Insurance
BA/ LN Equity,BAE SYSTEMS PLC,15442535424,15.38152504,5.052260687,16820999680,0.313622996,Capital Goods,Aerospace & Defense
SN/ LN Equity,SMITH & NEPHEW PLC,13325005824,26.05813217,4.030054645,4904000000,0.759392023,Health Care Equipment & Servic,Health Care Equipment
SSE LN Equity,SSE PLC,12333900800,41.31138611,12.61094007,22376899840,0.227329969,Utilities,Electric Utilities
WPP LN Equity,WPP PLC,10230865920,9.520577431,-4.228678104,15602400256,0.851628989,Media & Entertainment,Advertising
IAG LN Equity,INTL CONSOLIDATED AIRLINE-DI,10154551296,4.153017521,-17.15210356,24405999616,1.427526057,Transportation,Airlines
